Heuristica,N,M,Replicacao,Tempo,Iteracoes,Valor,Parametro
nmlrs,353,50,10,0.0000,1000,612,0.5
nmlrs,353,50,1,0.0000,1000,534,0.6
nmlrs,353,50,2,0.0000,1000,507,0.6
nmlrs,353,50,3,0.0000,1000,562,0.6
nmlrs,353,50,4,0.0000,1000,546,0.6
nmlrs,353,50,5,0.0000,1000,584,0.6
nmlrs,353,50,6,0.0000,1000,478,0.6
nmlrs,353,50,7,0.0000,1000,575,0.6
nmlrs,353,50,8,0.0087,1000,508,0.6
nmlrs,353,50,9,0.0010,1000,512,0.6
nmlrs,353,50,10,0.0000,1000,518,0.6
nmlrs,353,50,1,0.0000,1000,494,0.7
nmlrs,353,50,2,0.0000,1000,546,0.7
nmlrs,353,50,3,0.0000,1000,600,0.7
nmlrs,353,50,4,0.0000,1000,536,0.7
nmlrs,353,50,5,0.0000,1000,558,0.7
nmlrs,353,50,6,0.0046,1000,634,0.7
nmlrs,353,50,7,0.0000,1000,487,0.7
nmlrs,353,50,8,0.0000,1000,498,0.7
nmlrs,353,50,9,0.0038,1000,570,0.7
nmlrs,353,50,10,0.0005,1000,511,0.7
nmlrs,353,50,1,0.0000,1000,652,0.8
nmlrs,353,50,2,0.0000,1000,614,0.8
nmlrs,353,50,3,0.0015,1000,522,0.8
nmlrs,353,50,4,0.0000,1000,553,0.8
nmlrs,353,50,5,0.0000,1000,631,0.8
nmlrs,353,50,6,0.0000,1000,573,0.8
nmlrs,353,50,7,0.0000,1000,585,0.8
nmlrs,353,50,8,0.0000,1000,430,0.8
nmlrs,353,50,9,0.0000,1000,672,0.8
nmlrs,353,50,10,0.0080,1000,626,0.8
nmlrs,353,50,1,0.0005,1000,509,0.9
nmlrs,353,50,2,0.0000,1000,510,0.9
nmlrs,353,50,3,0.0016,1000,653,0.9
nmlrs,353,50,4,0.0000,1000,499,0.9
nmlrs,353,50,5,0.0000,1000,534,0.9
nmlrs,353,50,6,0.0000,1000,583,0.9
